sentence id,sentence,PLL score,nr. of tokens
tensor(43),The overseer was provided by the alcohol.,-43.32605457305908,11
tensor(44),The troublemaker crashed the car.,-17.97959280014038,9
tensor(45),The car crashed the troublemaker.,-33.21698617935181,9
tensor(46),The car was crashed by the troublemaker.,-18.141457557678223,11
tensor(47),The troublemaker was crashed by the car.,-29.89548969268799,11
tensor(48),The hooligan wrecked the vehicle.,-37.04258108139038,10
tensor(49),The vehicle wrecked the hooligan.,-39.68198585510254,10
tensor(50),The vehicle was wrecked by the hooligan.,-34.64439249038696,12
tensor(51),The hooligan was wrecked by the vehicle.,-41.144957065582275,12
tensor(52),The repairman fixed the tap.,-27.383981227874756,9
tensor(53),The tap fixed the repairman.,-39.298786640167236,9
tensor(54),The tap was fixed by the repairman.,-27.811753273010254,11
tensor(55),The repairman was fixed by the tap.,-40.52777051925659,11
tensor(56),The handyman repaired the faucet.,-37.37068462371826,12
tensor(57),The faucet repaired the handyman.,-48.64005517959595,12
tensor(58),The faucet was repaired by the handyman.,-37.02817106246948,14
tensor(59),The handyman was repaired by the faucet.,-47.25964403152466,14
tensor(60),The secretary organized the desk.,-25.01056957244873,8
tensor(61),The desk organized the secretary.,-32.43107509613037,8
tensor(62),The desk was organized by the secretary.,-24.191270351409912,10
tensor(63),The secretary was organized by the desk.,-39.53537654876709,10
tensor(64),The receptionist tidied the table.,-33.481675148010254,11
tensor(65),The table tidied the receptionist.,-42.448784828186035,11
tensor(66),The table was tidied by the receptionist.,-30.642621994018555,13
tensor(67),The receptionist was tidied by the table.,-41.27495002746582,13
tensor(68),The pilot steered the airplane.,-11.999505996704102,8
tensor(69),The airplane steered the pilot.,-27.852980136871338,8
tensor(70),The airplane was steered by the pilot.,-11.674616813659668,10
tensor(71),The pilot was steered by the airplane.,-27.342220306396484,10
tensor(72),The aviator maneuvered the jet.,-22.348763942718506,10
tensor(73),The jet maneuvered the aviator.,-28.379007816314697,10
tensor(74),The jet was maneuvered by the aviator.,-27.332059383392334,12
tensor(75),The aviator was maneuvered by the jet.,-34.36278295516968,12
tensor(76),The chef sauteed the squid.,-40.02147817611694,11
tensor(77),The squid sauteed the chef.,-46.927971839904785,11
tensor(78),The squid was sauteed by the chef.,-36.23603296279907,13
tensor(79),The chef was sauteed by the squid.,-44.78986406326294,13
tensor(80),The cook grilled the octopus.,-41.52763748168945,12
tensor(81),The octopus grilled the cook.,-43.91419219970703,12
tensor(82),The octopus was grilled by the cook.,-39.408748149871826,14
tensor(83),The cook was grilled by the octopus.,-47.60493087768555,14
tensor(84),The ship captain promised the triumph.,-35.78495931625366,9
tensor(85),The triumph promised the ship captain.,-37.27837324142456,9
tensor(86),The triumph was promised by the ship captain.,-27.715837001800537,11
tensor(87),The ship captain was promised by the triumph.,-38.60921335220337,11
tensor(88),The skipper guaranteed the victory.,-23.195351600646973,9
tensor(89),The victory guaranteed the skipper.,-29.958946704864502,9
tensor(90),The victory was guaranteed by the skipper.,-25.637895107269287,11
tensor(91),The skipper was guaranteed by the victory.,-37.929749965667725,11
tensor(92),The milliner adorned the fedora.,-42.204630851745605,10
tensor(93),The fedora adorned the milliner.,-42.974337100982666,10
tensor(94),The fedora was adorned by the milliner.,-39.58078384399414,12
tensor(95),The milliner was adorned by the fedora.,-47.942503452301025,12
tensor(96),The hatter decorated the bowler.,-39.46781349182129,9
tensor(97),The bowler decorated the hatter.,-38.576802253723145,9
tensor(98),The bowler was decorated by the hatter.,-41.26451015472412,11
tensor(99),The hatter was decorated by the bowler.,-38.12279987335205,11
tensor(100),The serviceman hoisted the flag.,-25.593789100646973,10
tensor(101),The flag hoisted the serviceman.,-35.38760328292847,10
tensor(102),The flag was hoisted by the serviceman.,-28.471985816955566,12
tensor(103),The serviceman was hoisted by the flag.,-36.519320487976074,12
tensor(104),The soldier raised the banner.,-18.64945077896118,8
tensor(105),The banner raised the soldier.,-32.032806396484375,8
tensor(106),The banner was raised by the soldier.,-19.311652660369873,10
tensor(107),The soldier was raised by the banner.,-27.67868661880493,10
tensor(108),The agent failed the mission.,-15.097874164581299,8
tensor(109),The mission failed the agent.,-23.326298713684082,8
tensor(110),The mission was failed by the agent.,-19.94518756866455,10
tensor(111),The agent was failed by the mission.,-30.357829093933105,10
tensor(112),The operative blew the assignment.,-27.978614330291748,8
tensor(113),The assignment blew the operative.,-35.8539400100708,8
tensor(114),The assignment was blown by the operative.,-35.05795860290527,10
tensor(115),The operative was blown by the assignment.,-37.748544692993164,10
tensor(116),The anchorman garbled the expression.,-45.918212890625,11
tensor(117),The expression garbled the anchorman.,-45.45860767364502,11
tensor(118),The expression was garbled by the anchorman.,-34.04225397109985,13
tensor(119),The anchorman was garbled by the expression.,-42.27983379364014,13
tensor(120),The announcer mispronounced the word.,-46.9979043006897,11
tensor(121),The word mispronounced the announcer.,-50.966248512268066,11
tensor(122),The word was mispronounced by the announcer.,-41.40298080444336,13
tensor(123),The announcer was mispronounced by the word.,-55.5111722946167,13
tensor(124),The author finished the novel.,-10.851463794708252,8
tensor(125),The novel finished the author.,-23.492850303649902,8
tensor(126),The novel was finished by the author.,-14.746379375457764,10
tensor(127),The author was finished by the novel.,-35.339130878448486,10
tensor(128),The writer completed the book.,-13.254039764404297,8
tensor(129),The book completed the writer.,-23.755232334136963,8
tensor(130),The book was completed by the writer.,-15.129745483398438,10
tensor(131),The writer was completed by the book.,-34.07674837112427,10
tensor(132),The financier sponsored the project.,-23.479692935943604,10
tensor(133),The project sponsored the financier.,-37.36140155792236,10
tensor(134),The project was sponsored by the financier.,-27.6240873336792,12
tensor(135),The financier was sponsored by the project.,-33.552528858184814,12
tensor(136),The banker funded the program.,-25.135197639465332,8
tensor(137),The program funded the banker.,-32.20131492614746,8
tensor(138),The program was funded by the banker.,-26.081970691680908,10
tensor(139),The banker was funded by the program.,-29.641883850097656,10
tensor(140),The tourist exited the bus.,-17.72370147705078,8
tensor(141),The bus exited the tourist.,-31.60220193862915,8
tensor(142),The bus was exited by the tourist.,-25.590036392211914,10
tensor(143),The tourist was exited by the bus.,-29.615684509277344,10
tensor(144),The vacationer left the shuttle.,-26.74646282196045,9
tensor(145),The shuttle left the vacationer.,-32.64264440536499,9
tensor(146),The shuttle was left by the vacationer.,-31.22318458557129,11
tensor(147),The vacationer was left by the shuttle.,-32.07375621795654,11
tensor(148),The dietitian loathed the jam.,-49.82047176361084,11
tensor(149),The jam loathed the dietitian.,-57.92374515533447,11
tensor(150),The jam was loathed by the dietitian.,-57.8539924621582,13
tensor(151),The dietitian was loathed by the jam.,-58.791850090026855,13
tensor(152),The nutritionist detested the marmalade.,-45.3853702545166,13
tensor(153),The marmalade detested the nutritionist.,-52.015191078186035,13
tensor(154),The marmalade was detested by the nutritionist.,-51.239792823791504,15
tensor(155),The nutritionist was detested by the marmalade.,-56.62016820907593,15
tensor(156),The scientist discovered the cure.,-15.348873615264893,8
tensor(157),The cure discovered the scientist.,-31.530062675476074,8
tensor(158),The cure was discovered by the scientist.,-16.797947883605957,10
tensor(159),The scientist was discovered by the cure.,-32.08256912231445,10
tensor(160),The researcher found the remedy.,-25.434224128723145,8
tensor(161),The remedy found the researcher.,-33.24985885620117,8
tensor(162),The remedy was found by the researcher.,-25.866411209106445,10
tensor(163),The researcher was found by the remedy.,-39.91369962692261,10
tensor(164),The doctor closed the school.,-26.486026763916016,8
tensor(165),The school closed the doctor.,-34.837409019470215,8
tensor(166),The school was closed by the doctor.,-23.662373065948486,10
tensor(167),The doctor was closed by the school.,-28.157329082489014,10
tensor(168),The maid lifted the cushion.,-17.77952766418457,8
tensor(169),The cushion lifted the maid.,-28.013051509857178,8
tensor(170),The cushion was lifted by the maid.,-19.996623039245605,10
tensor(171),The maid was lifted by the cushion.,-30.518290996551514,10
tensor(172),The servant wiped the sink.,-17.824839115142822,8
tensor(173),The sink wiped the servant.,-32.43839740753174,8
tensor(174),The sink was wiped by the servant.,-24.86526107788086,10
tensor(175),The servant was wiped by the sink.,-33.70003032684326,10
tensor(176),The domestic cleaned the wash basin.,-22.505949020385742,9
tensor(177),The wash basin cleaned the domestic.,-36.199761390686035,9
tensor(178),The wash basin was cleaned by the domestic.,-24.74460220336914,11
tensor(179),The domestic was cleaned by the wash basin.,-35.21513652801514,11
tensor(180),The friend donned the pullover.,-35.48595190048218,10
tensor(181),The pullover donned the friend.,-41.777544021606445,10
tensor(182),The pullover was donned by the friend.,-36.38035869598389,12
tensor(183),The friend was donned by the pullover.,-45.35715961456299,12
tensor(184),The convalescent took the pill.,-28.404454708099365,10
tensor(185),The pill took the convalescent.,-39.539676666259766,10
tensor(186),The pill was taken by the convalescent.,-32.56369113922119,12
tensor(187),The convalescent was taken by the pill.,-47.94658946990967,12
tensor(188),The patient swallowed the medicine.,-16.772444248199463,8
tensor(189),The medicine swallowed the patient.,-26.125428199768066,8
tensor(190),The medicine was swallowed by the patient.,-18.89332675933838,10
tensor(191),The patient was swallowed by the medicine.,-22.820669651031494,10
tensor(192),The hoarder hid the stash.,-38.16773223876953,12
tensor(193),The stash hid the hoarder.,-42.322449684143066,12
tensor(194),The stash was hidden by the hoarder.,-37.00977659225464,14
tensor(195),The hoarder was hidden by the stash.,-45.922330379486084,14
tensor(196),The packrat concealed the stockpile.,-40.29208946228027,10
tensor(197),The stockpile concealed the packrat.,-42.044997215270996,10
tensor(198),The stockpile was concealed by the packrat.,-41.333669662475586,12
tensor(199),The packrat was concealed by the stockpile.,-45.06599998474121,12
tensor(200),The reporter abandoned the story.,-18.252185821533203,8
tensor(201),The story abandoned the reporter.,-24.731069087982178,8
tensor(202),The story was abandoned by the reporter.,-17.470890045166016,10
tensor(203),The reporter was abandoned by the story.,-33.7636137008667,10
tensor(204),The journalist ditched the article.,-25.08089017868042,9
tensor(205),The article ditched the journalist.,-31.77010440826416,9
tensor(206),The article was ditched by the journalist.,-28.42466640472412,11
tensor(207),The journalist was ditched by the article.,-40.59168720245361,11
tensor(208),The carnivore ate the steak.,-28.782022953033447,11
tensor(209),The steak ate the carnivore.,-34.79056119918823,11
tensor(210),The steak was eaten by the carnivore.,-31.10354232788086,13
tensor(211),The carnivore was eaten by the steak.,-37.489224910736084,13
tensor(212),The meat-eater devoured the filet.,-32.142730712890625,14
tensor(213),The filet devoured the meat-eater.,-32.50622510910034,14
tensor(214),The filet was devoured by the meat-eater.,-35.76176834106445,16
tensor(215),The meat-eater was devoured by the filet.,-36.42971086502075,16
tensor(216),The man drank the soda.,-13.523524284362793,8
tensor(217),The soda drank the man.,-30.417316436767578,8
tensor(218),The soda was drunk by the man.,-23.28116798400879,10
tensor(219),The man was drunk by the soda.,-29.735093116760254,10
tensor(220),The teacher bought the laptop.,-22.765831470489502,8
tensor(221),The laptop bought the teacher.,-33.60816287994385,8
tensor(222),The laptop was bought by the teacher.,-22.06703758239746,10
tensor(223),The teacher was bought by the laptop.,-39.614502906799316,10
tensor(224),The instructor purchased the computer.,-26.757994174957275,8
tensor(225),The computer purchased the instructor.,-34.915465354919434,8
tensor(226),The computer was purchased by the instructor.,-26.284780025482178,10
tensor(227),The instructor was purchased by the computer.,-37.13412570953369,10
tensor(228),The lady cooked the supper.,-18.23444938659668,8
tensor(229),The supper cooked the lady.,-33.88283443450928,8
tensor(230),The supper was cooked by the lady.,-19.98227024078369,10
tensor(231),The lady was cooked by the supper.,-38.9265661239624,10
tensor(232),The woman prepared the dinner.,-14.001849174499512,8
tensor(233),The dinner prepared the woman.,-29.89053440093994,8
tensor(234),The dinner was prepared by the woman.,-15.604389667510986,10
tensor(235),The woman was prepared by the dinner.,-38.813612937927246,10
tensor(236),The traveler lost the souvenir.,-37.92150592803955,11
tensor(237),The souvenir lost the traveler.,-43.40612983703613,11
tensor(238),The souvenir was lost by the traveler.,-36.91340112686157,13
tensor(239),The traveler was lost by the souvenir.,-47.81300640106201,13
tensor(240),The sightseer misplaced the memento.,-55.479334354400635,12
tensor(241),The memento misplaced the sightseer.,-67.12982606887817,12
tensor(242),The memento was misplaced by the sightseer.,-56.6573748588562,14
tensor(243),The sightseer was misplaced by the memento.,-59.73437261581421,14
tensor(244),The comedian confirmed the itinerary.,-30.952038288116455,10
tensor(245),The itinerary confirmed the comedian.,-39.234909534454346,10
tensor(246),The itinerary was confirmed by the comedian.,-33.02665090560913,12
tensor(247),The comedian was confirmed by the itinerary.,-35.44763422012329,12
tensor(248),The humorist verified the schedule.,-34.760043144226074,9
tensor(249),The schedule verified the humorist.,-40.334815979003906,9
tensor(250),The schedule was verified by the humorist.,-34.887874603271484,11
tensor(251),The humorist was verified by the schedule.,-40.581706047058105,11
tensor(252),The woodworker skimmed the brochure.,-46.83949613571167,14
tensor(253),The brochure skimmed the woodworker.,-53.50138282775879,14
tensor(254),The brochure was skimmed by the woodworker.,-51.92725133895874,16
tensor(255),The woodworker was skimmed by the brochure.,-56.3408260345459,16
tensor(256),The guide reached the target.,-22.96122407913208,8
tensor(257),The target reached the guide.,-30.237128257751465,8
tensor(258),The target was reached by the guide.,-25.175787925720215,10
tensor(259),The guide was reached by the target.,-30.482350826263428,10
tensor(260),The townsperson farmed the grain.,-37.594669342041016,10
tensor(261),The grain farmed the townsperson.,-40.767770290374756,10
tensor(262),The grain was farmed by the townsperson.,-39.98981475830078,12
tensor(263),The townsperson was farmed by the grain.,-53.04027462005615,12
tensor(264),The villager cultivated the crop.,-22.39419937133789,9
tensor(265),The crop cultivated the villager.,-35.56487035751343,9
tensor(266),The crop was cultivated by the villager.,-21.30008554458618,11
tensor(267),The villager was cultivated by the crop.,-39.38394832611084,11
tensor(268),The mentor revised the manuscript.,-27.701001167297363,8
tensor(269),The manuscript revised the mentor.,-36.952250480651855,8
tensor(270),The manuscript was revised by the mentor.,-28.972169876098633,10
tensor(271),The mentor was revised by the manuscript.,-42.62169075012207,10
tensor(272),The advisor edited the paper.,-21.66729211807251,8
tensor(273),The paper edited the advisor.,-35.329179763793945,8
tensor(274),The paper was edited by the advisor.,-22.675026893615723,10
tensor(275),The advisor was edited by the paper.,-34.44290637969971,10
tensor(276),The accountant made the chart.,-30.491881370544434,8
tensor(277),The chart made the accountant.,-38.41481971740723,8
tensor(278),The chart was made by the accountant.,-24.026309490203857,10
tensor(279),The accountant was made by the chart.,-43.70407962799072,10
tensor(280),The bookkeeper created the graph.,-27.31367063522339,9
tensor(281),The graph created the bookkeeper.,-38.492889404296875,9
tensor(282),The graph was created by the bookkeeper.,-26.087082862854004,11
tensor(283),The bookkeeper was created by the graph.,-42.76359272003174,11
tensor(284),The logger felled the pine tree.,-27.62874937057495,11
tensor(285),The pine tree felled the logger.,-30.312866687774658,11
tensor(286),The pine tree was felled by the logger.,-25.08039093017578,13
tensor(287),The logger was felled by the pine tree.,-33.26658296585083,13
tensor(288),The tycoon ran the company.,-23.432867527008057,10
tensor(289),The company ran the tycoon.,-31.466038703918457,10
tensor(290),The company was run by the tycoon.,-24.28751564025879,12
tensor(291),The tycoon was run by the company.,-31.291633129119873,12
tensor(292),The mogul governed the corporation.,-32.78495788574219,10
tensor(293),The corporation governed the mogul.,-36.039494037628174,10
tensor(294),The corporation was governed by the mogul.,-34.340505599975586,12
tensor(295),The mogul was governed by the corporation.,-35.8203330039978,12
tensor(296),The campaigner biased the ballot.,-31.174344062805176,10
tensor(297),The ballot biased the campaigner.,-35.621859073638916,10
tensor(298),The ballot was biased by the campaigner.,-37.37158393859863,12
tensor(299),The campaigner was biased by the ballot.,-39.04802465438843,12
tensor(300),The activist prejudiced the vote.,-34.91483688354492,9
tensor(301),The vote prejudiced the activist.,-32.37546443939209,9
tensor(302),The vote was prejudiced by the activist.,-37.0484504699707,11
tensor(303),The activist was prejudiced by the vote.,-33.83284139633179,11
tensor(304),The stewardess pulled the suitcase.,-28.91481304168701,10
tensor(305),The suitcase pulled the stewardess.,-46.36855220794678,10
tensor(306),The suitcase was pulled by the stewardess.,-27.737148761749268,12
tensor(307),The stewardess was pulled by the suitcase.,-31.488463878631592,12
tensor(308),The flight-attendant dragged the luggage.,-14.1586275100708,10
tensor(309),The luggage dragged the flight-attendant.,-21.034481048583984,10
tensor(310),The luggage was dragged by the flight-attendant.,-16.25290870666504,12
tensor(311),The flight-attendant was dragged by the luggage.,-21.639363288879395,12
tensor(312),The congressman delivered the speech.,-16.07306671142578,9
tensor(313),The speech delivered the congressman.,-33.34573984146118,9
tensor(314),The speech was delivered by the congressman.,-17.686020851135254,11
tensor(315),The congressman was delivered by the speech.,-40.62864017486572,11
tensor(316),The representative gave the address.,-13.987619400024414,8
tensor(317),The address gave the representative.,-30.477109909057617,8
tensor(318),The address was given by the representative.,-16.4292049407959,10
tensor(319),The representative was given by the address.,-36.23633575439453,10
tensor(320),The sheriff inspected the estate.,-15.931394100189209,8
tensor(321),The estate inspected the sheriff.,-37.10512351989746,8
tensor(322),The estate was inspected by the sheriff.,-17.881271362304688,10
tensor(323),The sheriff was inspected by the estate.,-36.006675720214844,10
tensor(324),The constable examined the property.,-23.161436080932617,9
tensor(325),The property examined the constable.,-42.24269676208496,9
tensor(326),The property was examined by the constable.,-24.629004955291748,11
tensor(327),The constable was examined by the property.,-39.126322746276855,11
tensor(328),The celebrity signed the photograph.,-21.39707088470459,8
tensor(329),The photograph signed the celebrity.,-30.22190570831299,8
tensor(330),The photograph was signed by the celebrity.,-20.008440017700195,10
tensor(331),The celebrity was signed by the photograph.,-37.469749450683594,10
tensor(332),The star autographed the picture.,-28.214455127716064,10
tensor(333),The picture autographed the star.,-33.103363037109375,10
tensor(334),The picture was autographed by the star.,-25.896862030029297,12
tensor(335),The star was autographed by the picture.,-39.66337299346924,12
tensor(336),The nanny tutored the boy.,-27.08958625793457,10
tensor(337),The boy tutored the nanny.,-27.285155296325684,10
tensor(338),The boy was tutored by the nanny.,-26.181713104248047,12
tensor(339),The nanny was tutored by the boy.,-29.203166961669922,12
tensor(340),The governess instructed the lad.,-24.184622287750244,9
tensor(341),The lad instructed the governess.,-26.897318363189697,9
tensor(342),The lad was instructed by the governess.,-24.65145206451416,11
tensor(343),The governess was instructed by the lad.,-27.780966758728027,11
tensor(344),The blackmailer threatened the senator.,-24.122546195983887,10
tensor(345),The senator threatened the blackmailer.,-25.068572998046875,10
tensor(346),The senator was threatened by the blackmailer.,-24.099748134613037,12
tensor(347),The blackmailer was threatened by the senator.,-25.18626594543457,12
tensor(348),The extortionist menaced the legislator.,-45.346909046173096,15
tensor(349),The legislator menaced the extortionist.,-44.531424045562744,15
tensor(350),The legislator was menaced by the extortionist.,-50.7521653175354,17
tensor(351),The extortionist was menaced by the legislator.,-50.55339956283569,17
tensor(352),The artist portrayed the philosopher.,-18.655073642730713,8
tensor(353),The philosopher portrayed the artist.,-23.46953821182251,8
tensor(354),The philosopher was portrayed by the artist.,-18.210909366607666,10
tensor(355),The artist was portrayed by the philosopher.,-28.3828182220459,10
tensor(356),The painter depicted the thinker.,-32.980374336242676,9
tensor(357),The thinker depicted the painter.,-34.15244674682617,9
tensor(358),The thinker was depicted by the painter.,-28.169931411743164,11
tensor(359),The painter was depicted by the thinker.,-39.04542827606201,11
tensor(360),The mechanic berated the intern.,-38.76726531982422,10
tensor(361),The intern berated the mechanic.,-35.713229179382324,10
tensor(362),The intern was berated by the mechanic.,-43.35704803466797,12
tensor(363),The mechanic was berated by the intern.,-39.931264877319336,12
tensor(364),The technician rebuked the aide.,-35.03308963775635,10
tensor(365),The aide rebuked the technician.,-33.343188762664795,10
tensor(366),The aide was rebuked by the technician.,-41.029038429260254,12
tensor(367),The technician was rebuked by the aide.,-40.56993818283081,12
tensor(368),The fairy enchanted the troll.,-27.11039924621582,9
tensor(369),The troll enchanted the fairy.,-28.627127647399902,9
tensor(370),The troll was enchanted by the fairy.,-27.651705741882324,11
tensor(371),The fairy was enchanted by the troll.,-28.33916425704956,11
tensor(372),The pixie mesmerized the ogre.,-47.75089883804321,14
tensor(373),The ogre mesmerized the pixie.,-47.14575815200806,14
tensor(374),The ogre was mesmerized by the pixie.,-47.23805856704712,16
tensor(375),The pixie was mesmerized by the ogre.,-47.959834575653076,16
tensor(376),The orderly assisted the dentist.,-29.13963222503662,9
tensor(377),The dentist assisted the orderly.,-27.78222894668579,9
tensor(378),The dentist was assisted by the orderly.,-27.62044382095337,11
tensor(379),The orderly was assisted by the dentist.,-27.010680198669434,11
tensor(380),The nurse helped the orthodontist.,-43.46774482727051,12
tensor(381),The orthodontist helped the nurse.,-36.866679668426514,12
tensor(382),The orthodontist was helped by the nurse.,-34.52713918685913,14
tensor(383),The nurse was helped by the orthodontist.,-38.86595392227173,14
tensor(384),The owner evicted the tenant.,-18.150885581970215,9
tensor(385),The tenant evicted the owner.,-19.641565799713135,9
tensor(386),The tenant was evicted by the owner.,-23.336554050445557,11
tensor(387),The owner was evicted by the tenant.,-21.56092596054077,11
tensor(388),The critic attacked the conservative.,-22.199376106262207,8
tensor(389),The conservative attacked the critic.,-22.920494079589844,8
tensor(390),The conservative was attacked by the critic.,-24.905282020568848,10
tensor(391),The critic was attacked by the conservative.,-20.760488033294678,10
tensor(392),The reviewer criticized the right-winger.,-16.437698364257812,10
tensor(393),The right-winger criticized the reviewer.,-22.152461528778076,10
tensor(394),The right-winger was criticized by the reviewer.,-18.184622764587402,12
tensor(395),The reviewer was criticized by the right-winger.,-25.73662757873535,12
tensor(396),The admirer badgered the director.,-35.12178087234497,10
tensor(397),The director badgered the admirer.,-32.71629285812378,10
tensor(398),The director was badgered by the admirer.,-40.54974985122681,12
tensor(399),The admirer was badgered by the director.,-35.850911140441895,12
tensor(400),The fan pestered the filmmaker.,-34.64823579788208,10
tensor(401),The filmmaker pestered the fan.,-36.33081817626953,10
tensor(402),The filmmaker was pestered by the fan.,-38.301565647125244,12
tensor(403),The fan was pestered by the filmmaker.,-34.59872055053711,12
tensor(404),The paramedic revived the youth.,-37.87948131561279,10
tensor(405),The youth revived the paramedic.,-35.15894651412964,10
tensor(406),The youth was revived by the paramedic.,-34.98328971862793,12
tensor(407),The paramedic was revived by the youth.,-35.847033977508545,12
tensor(408),The EMT resuscitated the youngster.,-48.95944261550903,13
tensor(409),The youngster resuscitated the EMT.,-56.130187034606934,13
tensor(410),The youngster was resuscitated by the EMT.,-53.07227802276611,15
tensor(411),The EMT was resuscitated by the youngster.,-52.22613477706909,15
tensor(412),The prankster duped the marketer.,-36.04592418670654,12
tensor(413),The marketer duped the prankster.,-37.20434856414795,12
tensor(414),The marketer was duped by the prankster.,-35.825745582580566,14
tensor(415),The prankster was duped by the marketer.,-34.96292495727539,14
tensor(416),The joker tricked the distributor.,-30.437939643859863,10
tensor(417),The distributor tricked the joker.,-32.10665798187256,10
tensor(418),The distributor was tricked by the joker.,-33.17129135131836,12
tensor(419),The joker was tricked by the distributor.,-34.57398509979248,12
tensor(420),The playboy courted the damsel.,-35.79854106903076,11
tensor(421),The damsel courted the playboy.,-33.76298236846924,11
tensor(422),The damsel was courted by the playboy.,-38.68247413635254,13
tensor(423),The playboy was courted by the damsel.,-38.83393383026123,13
tensor(424),The womanizer wooed the maiden.,-38.63177967071533,11
tensor(425),The maiden wooed the womanizer.,-42.21806716918945,11
tensor(426),The maiden was wooed by the womanizer.,-36.14125347137451,13
tensor(427),The womanizer was wooed by the maiden.,-37.37808561325073,13
tensor(428),The nomad cherished the clergyman.,-44.350765228271484,11
tensor(429),The clergyman cherished the nomad.,-48.34618377685547,11
tensor(430),The clergyman was cherished by the nomad.,-42.98944091796875,13
tensor(431),The nomad was cherished by the clergyman.,-45.11294651031494,13
tensor(432),The vagabond revered the priest.,-41.30387210845947,11
tensor(433),The priest revered the vagabond.,-35.15878915786743,11
tensor(434),The priest was revered by the vagabond.,-40.15530300140381,13
tensor(435),The vagabond was revered by the priest.,-37.699323654174805,13
tensor(436),The assassin shot the statesman.,-22.81085205078125,8
tensor(437),The statesman shot the assassin.,-23.35030508041382,8
tensor(438),The statesman was shot by the assassin.,-20.076566696166992,10
tensor(439),The assassin was shot by the statesman.,-21.916011333465576,10
tensor(440),The hit man killed the politician.,-23.470926761627197,9
tensor(441),The politician killed the hit man.,-22.648468017578125,9
tensor(442),The politician was killed by the hit man.,-21.44063138961792,11
tensor(443),The hit man was killed by the politician.,-22.060076236724854,11
tensor(444),The clerk charged the elderly person.,-29.227843761444092,9
tensor(445),The elderly person charged the clerk.,-27.609042167663574,9
tensor(446),The elderly person was charged by the clerk.,-32.32342290878296,11
tensor(447),The clerk was charged by the elderly person.,-32.04503154754639,11
tensor(448),The cashier billed the senior citizen.,-27.630109786987305,10
tensor(449),The senior citizen billed the cashier.,-24.54706382751465,10
tensor(450),The senior citizen was billed by the cashier.,-26.772433280944824,12
tensor(451),The cashier was billed by the senior citizen.,-27.305716514587402,12
tensor(452),The mediator rescued the hostage.,-24.068528652191162,9
tensor(453),The hostage rescued the mediator.,-29.17018222808838,9
tensor(454),The hostage was rescued by the mediator.,-23.670151710510254,11
tensor(455),The mediator was rescued by the hostage.,-28.02011775970459,11
tensor(456),The negotiator saved the captive.,-33.81461715698242,10
tensor(457),The captive saved the negotiator.,-35.27403783798218,10
tensor(458),The captive was saved by the negotiator.,-31.300493240356445,12
