sentence id,sentence,PLL score,nr. of tokens
tensor(246),The itinerary was confirmed by the comedian.,-46.31617736816406,10
tensor(247),The comedian was confirmed by the itinerary.,-50.43638229370117,10
tensor(248),The humorist verified the schedule.,-51.133697509765625,8
tensor(249),The schedule verified the humorist.,-55.33540344238281,8
tensor(250),The schedule was verified by the humorist.,-52.324947357177734,10
tensor(251),The humorist was verified by the schedule.,-56.20535659790039,10
tensor(252),The woodworker skimmed the brochure.,-50.88835144042969,10
tensor(253),The brochure skimmed the woodworker.,-54.56050109863281,10
tensor(254),The brochure was skimmed by the woodworker.,-52.439083099365234,12
tensor(255),The woodworker was skimmed by the brochure.,-57.08257293701172,12
tensor(256),The guide reached the target.,-40.459251403808594,7
tensor(257),The target reached the guide.,-42.147830963134766,7
tensor(258),The target was reached by the guide.,-45.322532653808594,9
tensor(259),The guide was reached by the target.,-47.98305130004883,9
tensor(260),The townsperson farmed the grain.,-55.6636962890625,10
tensor(261),The grain farmed the townsperson.,-60.42385482788086,10
tensor(262),The grain was farmed by the townsperson.,-56.29465103149414,12
tensor(263),The townsperson was farmed by the grain.,-63.097450256347656,12
tensor(264),The villager cultivated the crop.,-45.71534729003906,8
tensor(265),The crop cultivated the villager.,-49.49723815917969,8
tensor(266),The crop was cultivated by the villager.,-49.19212341308594,10
tensor(267),The villager was cultivated by the crop.,-53.251644134521484,10
tensor(268),The mentor revised the manuscript.,-47.447914123535156,7
tensor(269),The manuscript revised the mentor.,-50.57556915283203,7
tensor(270),The manuscript was revised by the mentor.,-46.490142822265625,9
tensor(271),The mentor was revised by the manuscript.,-54.21307373046875,9
tensor(272),The advisor edited the paper.,-40.837867736816406,7
tensor(273),The paper edited the advisor.,-47.23789978027344,7
tensor(274),The paper was edited by the advisor.,-41.48298263549805,9
tensor(275),The advisor was edited by the paper.,-51.253150939941406,9
tensor(276),The accountant made the chart.,-36.25547409057617,7
tensor(277),The chart made the accountant.,-45.730560302734375,7
tensor(278),The chart was made by the accountant.,-37.75490951538086,9
tensor(279),The accountant was made by the chart.,-49.15948486328125,9
tensor(280),The bookkeeper created the graph.,-43.404991149902344,8
tensor(281),The graph created the bookkeeper.,-46.46525955200195,8
tensor(282),The graph was created by the bookkeeper.,-40.876731872558594,10
tensor(283),The bookkeeper was created by the graph.,-53.377159118652344,10
tensor(284),The logger felled the pine tree.,-48.071388244628906,9
tensor(285),The pine tree felled the logger.,-49.503665924072266,9
tensor(286),The pine tree was felled by the logger.,-51.33527755737305,11
tensor(287),The logger was felled by the pine tree.,-50.257232666015625,11
tensor(288),The tycoon ran the company.,-41.4489631652832,8
tensor(289),The company ran the tycoon.,-41.57038879394531,8
tensor(290),The company was run by the tycoon.,-37.820953369140625,10
tensor(291),The tycoon was run by the company.,-44.074501037597656,10
tensor(292),The mogul governed the corporation.,-47.67559814453125,7
tensor(293),The corporation governed the mogul.,-49.08468246459961,7
tensor(294),The corporation was governed by the mogul.,-47.94847869873047,9
tensor(295),The mogul was governed by the corporation.,-49.90279006958008,9
tensor(296),The campaigner biased the ballot.,-47.08998107910156,7
tensor(297),The ballot biased the campaigner.,-49.19792175292969,7
tensor(298),The ballot was biased by the campaigner.,-51.225807189941406,9
tensor(299),The campaigner was biased by the ballot.,-51.221134185791016,9
tensor(300),The activist prejudiced the vote.,-47.00702667236328,8
tensor(301),The vote prejudiced the activist.,-48.00390625,8
tensor(302),The vote was prejudiced by the activist.,-48.8802490234375,10
tensor(303),The activist was prejudiced by the vote.,-51.36604690551758,10
tensor(304),The stewardess pulled the suitcase.,-41.121212005615234,9
tensor(305),The suitcase pulled the stewardess.,-48.77679443359375,9
tensor(306),The suitcase was pulled by the stewardess.,-45.848365783691406,11
tensor(307),The stewardess was pulled by the suitcase.,-48.20734786987305,11
tensor(308),The flight-attendant dragged the luggage.,-52.672916412353516,10
tensor(309),The luggage dragged the flight-attendant.,-61.19285202026367,10
tensor(310),The luggage was dragged by the flight-attendant.,-61.22020721435547,12
tensor(311),The flight-attendant was dragged by the luggage.,-56.32813262939453,12
tensor(312),The congressman delivered the speech.,-36.099822998046875,7
tensor(313),The speech delivered the congressman.,-41.002899169921875,7
tensor(314),The speech was delivered by the congressman.,-35.43519973754883,9
tensor(315),The congressman was delivered by the speech.,-50.25208282470703,9
tensor(316),The representative gave the address.,-35.577327728271484,7
tensor(317),The address gave the representative.,-43.65115737915039,7
tensor(318),The address was given by the representative.,-37.83709716796875,9
tensor(319),The representative was given by the address.,-46.693302154541016,9
tensor(320),The sheriff inspected the estate.,-42.1064453125,7
tensor(321),The estate inspected the sheriff.,-46.11991882324219,7
tensor(322),The estate was inspected by the sheriff.,-39.55117416381836,9
tensor(323),The sheriff was inspected by the estate.,-48.93416976928711,9
tensor(324),The constable examined the property.,-43.56801986694336,8
tensor(325),The property examined the constable.,-52.35671615600586,8
tensor(326),The property was examined by the constable.,-46.34849548339844,10
tensor(327),The constable was examined by the property.,-53.39844512939453,10
tensor(328),The celebrity signed the photograph.,-40.409461975097656,7
tensor(329),The photograph signed the celebrity.,-46.11552047729492,7
tensor(330),The photograph was signed by the celebrity.,-42.494140625,9
tensor(331),The celebrity was signed by the photograph.,-50.727821350097656,9
tensor(332),The star autographed the picture.,-41.94367218017578,8
tensor(333),The picture autographed the star.,-47.864837646484375,8
tensor(334),The picture was autographed by the star.,-43.80576705932617,10
tensor(335),The star was autographed by the picture.,-45.417198181152344,10
tensor(336),The nanny tutored the boy.,-44.769142150878906,9
tensor(337),The boy tutored the nanny.,-43.60901641845703,9
tensor(338),The boy was tutored by the nanny.,-43.18564224243164,11
tensor(339),The nanny was tutored by the boy.,-48.324459075927734,11
tensor(340),The governess instructed the lad.,-51.036277770996094,8
tensor(341),The lad instructed the governess.,-51.29164123535156,8
tensor(342),The lad was instructed by the governess.,-48.82066345214844,10
tensor(343),The governess was instructed by the lad.,-51.195308685302734,10
tensor(344),The blackmailer threatened the senator.,-40.79125213623047,8
tensor(345),The senator threatened the blackmailer.,-42.9654541015625,8
tensor(346),The senator was threatened by the blackmailer.,-46.005897521972656,10
tensor(347),The blackmailer was threatened by the senator.,-46.163978576660156,10
tensor(348),The extortionist menaced the legislator.,-52.916160583496094,9
tensor(349),The legislator menaced the extortionist.,-52.06602478027344,9
tensor(350),The legislator was menaced by the extortionist.,-56.69010925292969,11
tensor(351),The extortionist was menaced by the legislator.,-57.624088287353516,11
tensor(352),The artist portrayed the philosopher.,-41.03983688354492,7
tensor(353),The philosopher portrayed the artist.,-45.74449920654297,7
tensor(354),The philosopher was portrayed by the artist.,-44.71519470214844,9
tensor(355),The artist was portrayed by the philosopher.,-47.83294677734375,9
tensor(356),The painter depicted the thinker.,-47.67863082885742,7
tensor(357),The thinker depicted the painter.,-49.76438522338867,7
tensor(358),The thinker was depicted by the painter.,-49.87450408935547,9
tensor(359),The painter was depicted by the thinker.,-49.822086334228516,9
tensor(360),The mechanic berated the intern.,-49.7725715637207,8
tensor(361),The intern berated the mechanic.,-46.555931091308594,8
tensor(362),The intern was berated by the mechanic.,-47.309322357177734,10
tensor(363),The mechanic was berated by the intern.,-53.58320999145508,10
tensor(364),The technician rebuked the aide.,-48.009883880615234,8
tensor(365),The aide rebuked the technician.,-49.5628547668457,8
tensor(366),The aide was rebuked by the technician.,-52.11398696899414,10
tensor(367),The technician was rebuked by the aide.,-53.233734130859375,10
tensor(368),The fairy enchanted the troll.,-41.190452575683594,7
tensor(369),The troll enchanted the fairy.,-44.486534118652344,7
tensor(370),The troll was enchanted by the fairy.,-47.672935485839844,9
tensor(371),The fairy was enchanted by the troll.,-41.735496520996094,9
tensor(372),The pixie mesmerized the ogre.,-50.160064697265625,9
tensor(373),The ogre mesmerized the pixie.,-49.42375946044922,9
tensor(374),The ogre was mesmerized by the pixie.,-50.061729431152344,11
tensor(375),The pixie was mesmerized by the ogre.,-51.559120178222656,11
tensor(376),The orderly assisted the dentist.,-52.144859313964844,7
tensor(377),The dentist assisted the orderly.,-45.957908630371094,7
tensor(378),The dentist was assisted by the orderly.,-49.88963317871094,9
tensor(379),The orderly was assisted by the dentist.,-50.516746520996094,9
tensor(380),The nurse helped the orthodontist.,-41.63660430908203,10
tensor(381),The orthodontist helped the nurse.,-40.91961669921875,10
tensor(382),The orthodontist was helped by the nurse.,-43.86762237548828,12
tensor(383),The nurse was helped by the orthodontist.,-43.41820526123047,12
tensor(384),The owner evicted the tenant.,-35.391868591308594,8
tensor(385),The tenant evicted the owner.,-39.58414840698242,8
tensor(386),The tenant was evicted by the owner.,-38.471435546875,10
tensor(387),The owner was evicted by the tenant.,-37.412742614746094,10
tensor(388),The critic attacked the conservative.,-42.3123779296875,7
tensor(389),The conservative attacked the critic.,-44.70330810546875,7
tensor(390),The conservative was attacked by the critic.,-48.086368560791016,9
tensor(391),The critic was attacked by the conservative.,-45.65798568725586,9
tensor(392),The reviewer criticized the right-winger.,-46.351016998291016,10
tensor(393),The right-winger criticized the reviewer.,-49.725067138671875,10
tensor(394),The right-winger was criticized by the reviewer.,-50.12660217285156,12
tensor(395),The reviewer was criticized by the right-winger.,-52.062744140625,12
tensor(396),The admirer badgered the director.,-53.08643341064453,9
tensor(397),The director badgered the admirer.,-51.315711975097656,9
tensor(398),The director was badgered by the admirer.,-51.97124099731445,11
tensor(399),The admirer was badgered by the director.,-53.108028411865234,11
tensor(400),The fan pestered the filmmaker.,-53.15530014038086,8
tensor(401),The filmmaker pestered the fan.,-46.40877151489258,8
tensor(402),The filmmaker was pestered by the fan.,-49.342533111572266,10
tensor(403),The fan was pestered by the filmmaker.,-51.418304443359375,10
tensor(404),The paramedic revived the youth.,-44.36526107788086,8
tensor(405),The youth revived the paramedic.,-47.25131607055664,8
tensor(406),The youth was revived by the paramedic.,-50.22466278076172,10
tensor(407),The paramedic was revived by the youth.,-49.38938522338867,10
tensor(408),The EMT resuscitated the youngster.,-46.21815490722656,9
tensor(409),The youngster resuscitated the EMT.,-51.87982177734375,9
tensor(410),The youngster was resuscitated by the EMT.,-48.63961410522461,11
tensor(411),The EMT was resuscitated by the youngster.,-49.803749084472656,11
tensor(412),The prankster duped the marketer.,-48.31340026855469,10
tensor(413),The marketer duped the prankster.,-49.423606872558594,10
tensor(414),The marketer was duped by the prankster.,-48.639976501464844,12
tensor(415),The prankster was duped by the marketer.,-49.80540084838867,12
tensor(416),The joker tricked the distributor.,-46.604427337646484,8
tensor(417),The distributor tricked the joker.,-48.02901840209961,8
tensor(418),The distributor was tricked by the joker.,-47.637176513671875,10
tensor(419),The joker was tricked by the distributor.,-46.34077453613281,10
tensor(420),The playboy courted the damsel.,-53.67310333251953,10
tensor(421),The damsel courted the playboy.,-56.07634735107422,10
tensor(422),The damsel was courted by the playboy.,-55.51152801513672,12
tensor(423),The playboy was courted by the damsel.,-56.23384475708008,12
tensor(424),The womanizer wooed the maiden.,-52.11555480957031,9
tensor(425),The maiden wooed the womanizer.,-56.50025177001953,9
tensor(426),The maiden was wooed by the womanizer.,-59.038230895996094,11
tensor(427),The womanizer was wooed by the maiden.,-58.700496673583984,11
tensor(428),The nomad cherished the clergyman.,-56.3094596862793,9
tensor(429),The clergyman cherished the nomad.,-58.4364013671875,9
tensor(430),The clergyman was cherished by the nomad.,-58.229190826416016,11
tensor(431),The nomad was cherished by the clergyman.,-60.68438720703125,11
tensor(432),The vagabond revered the priest.,-48.255001068115234,9
tensor(433),The priest revered the vagabond.,-47.85643005371094,9
tensor(434),The priest was revered by the vagabond.,-50.445648193359375,11
tensor(435),The vagabond was revered by the priest.,-49.65738296508789,11
tensor(436),The assassin shot the statesman.,-41.53884506225586,8
tensor(437),The statesman shot the assassin.,-43.009193420410156,8
tensor(438),The statesman was shot by the assassin.,-43.897186279296875,10
tensor(439),The assassin was shot by the statesman.,-44.94084167480469,10
tensor(440),The hit man killed the politician.,-41.843353271484375,8
tensor(441),The politician killed the hit man.,-41.3526611328125,8
tensor(442),The politician was killed by the hit man.,-43.114463806152344,10
tensor(443),The hit man was killed by the politician.,-45.871273040771484,10
tensor(444),The clerk charged the elderly person.,-45.3165283203125,8
tensor(445),The elderly person charged the clerk.,-48.86419677734375,8
tensor(446),The elderly person was charged by the clerk.,-48.373043060302734,10
tensor(447),The clerk was charged by the elderly person.,-50.98480987548828,10
tensor(448),The cashier billed the senior citizen.,-48.81048583984375,9
tensor(449),The senior citizen billed the cashier.,-49.521392822265625,9
tensor(450),The senior citizen was billed by the cashier.,-50.55646896362305,11
tensor(451),The cashier was billed by the senior citizen.,-52.75299072265625,11
tensor(452),The mediator rescued the hostage.,-45.584495544433594,8
tensor(453),The hostage rescued the mediator.,-47.20238494873047,8
tensor(454),The hostage was rescued by the mediator.,-47.176551818847656,10
tensor(455),The mediator was rescued by the hostage.,-48.614173889160156,10
tensor(456),The negotiator saved the captive.,-46.638389587402344,7
tensor(457),The captive saved the negotiator.,-47.46507263183594,7
tensor(458),The captive was saved by the negotiator.,-48.072471618652344,9
tensor(459),The negotiator was saved by the captive.,-49.1624641418457,9
