sentence id,sentence,PLL score,nr. of tokens
tensor(94),The fedora was adorned by the milliner.,-54.60617446899414,11
tensor(95),The milliner was adorned by the fedora.,-58.3994255065918,11
tensor(96),The hatter decorated the bowler.,-52.69627380371094,9
tensor(97),The bowler decorated the hatter.,-54.9053955078125,9
tensor(98),The bowler was decorated by the hatter.,-55.62098693847656,11
tensor(99),The hatter was decorated by the bowler.,-55.81077194213867,11
tensor(100),The serviceman hoisted the flag.,-40.24946975708008,9
tensor(101),The flag hoisted the serviceman.,-51.4701042175293,9
tensor(102),The flag was hoisted by the serviceman.,-50.49336624145508,11
tensor(103),The serviceman was hoisted by the flag.,-49.4295768737793,11
tensor(104),The soldier raised the banner.,-38.91423416137695,7
tensor(105),The banner raised the soldier.,-48.527748107910156,7
tensor(106),The banner was raised by the soldier.,-45.156646728515625,9
tensor(107),The soldier was raised by the banner.,-49.543785095214844,9
tensor(108),The agent failed the mission.,-38.75809860229492,7
tensor(109),The mission failed the agent.,-42.699195861816406,7
tensor(110),The mission was failed by the agent.,-44.11500549316406,9
tensor(111),The agent was failed by the mission.,-46.48419189453125,9
tensor(112),The operative blew the assignment.,-46.77894973754883,7
tensor(113),The assignment blew the operative.,-50.420352935791016,7
tensor(114),The assignment was blown by the operative.,-49.91447448730469,9
tensor(115),The operative was blown by the assignment.,-55.49658203125,9
tensor(116),The anchorman garbled the expression.,-52.801429748535156,9
tensor(117),The expression garbled the anchorman.,-59.706966400146484,9
tensor(118),The expression was garbled by the anchorman.,-53.238853454589844,11
tensor(119),The anchorman was garbled by the expression.,-57.72021484375,11
tensor(120),The announcer mispronounced the word.,-36.14033889770508,9
tensor(121),The word mispronounced the announcer.,-50.04142379760742,9
tensor(122),The word was mispronounced by the announcer.,-40.93996047973633,11
tensor(123),The announcer was mispronounced by the word.,-48.34521484375,11
tensor(124),The author finished the novel.,-35.131309509277344,7
tensor(125),The novel finished the author.,-42.768646240234375,7
tensor(126),The novel was finished by the author.,-40.01686096191406,9
tensor(127),The author was finished by the novel.,-44.647220611572266,9
tensor(128),The writer completed the book.,-37.05818557739258,7
tensor(129),The book completed the writer.,-44.86832809448242,7
tensor(130),The book was completed by the writer.,-42.09049606323242,9
tensor(131),The writer was completed by the book.,-45.09876251220703,9
tensor(132),The financier sponsored the project.,-43.71460723876953,9
tensor(133),The project sponsored the financier.,-50.86460494995117,9
tensor(134),The project was sponsored by the financier.,-44.02320098876953,11
tensor(135),The financier was sponsored by the project.,-51.35533905029297,11
tensor(136),The banker funded the program.,-41.51891326904297,7
tensor(137),The program funded the banker.,-49.506996154785156,7
tensor(138),The program was funded by the banker.,-44.24150848388672,9
tensor(139),The banker was funded by the program.,-46.928131103515625,9
tensor(140),The tourist exited the bus.,-41.512535095214844,7
tensor(141),The bus exited the tourist.,-50.49074935913086,7
tensor(142),The bus was exited by the tourist.,-49.37449645996094,9
tensor(143),The tourist was exited by the bus.,-48.5466194152832,9
tensor(144),The vacationer left the shuttle.,-45.49236297607422,8
tensor(145),The shuttle left the vacationer.,-52.41952133178711,8
tensor(146),The shuttle was left by the vacationer.,-51.30670928955078,10
tensor(147),The vacationer was left by the shuttle.,-52.955894470214844,10
tensor(148),The dietitian loathed the jam.,-55.29579544067383,10
tensor(149),The jam loathed the dietitian.,-61.64753723144531,10
tensor(150),The jam was loathed by the dietitian.,-59.318572998046875,12
tensor(151),The dietitian was loathed by the jam.,-61.590240478515625,12
tensor(152),The nutritionist detested the marmalade.,-55.16100311279297,11
tensor(153),The marmalade detested the nutritionist.,-59.92716979980469,11
tensor(154),The marmalade was detested by the nutritionist.,-58.67865753173828,13
tensor(155),The nutritionist was detested by the marmalade.,-64.00508117675781,13
tensor(156),The scientist discovered the cure.,-38.767677307128906,7
tensor(157),The cure discovered the scientist.,-50.376976013183594,7
tensor(158),The cure was discovered by the scientist.,-40.980499267578125,9
tensor(159),The scientist was discovered by the cure.,-49.21666717529297,9
tensor(160),The researcher found the remedy.,-42.997291564941406,7
tensor(161),The remedy found the researcher.,-48.94397735595703,7
tensor(162),The remedy was found by the researcher.,-43.174224853515625,9
tensor(163),The researcher was found by the remedy.,-52.42759323120117,9
tensor(164),The doctor closed the school.,-40.313453674316406,7
tensor(165),The school closed the doctor.,-41.3214111328125,7
tensor(166),The school was closed by the doctor.,-39.60316848754883,9
tensor(167),The doctor was closed by the school.,-45.36553192138672,9
tensor(168),The maid lifted the cushion.,-46.16078186035156,7
tensor(169),The cushion lifted the maid.,-51.609249114990234,7
tensor(170),The cushion was lifted by the maid.,-50.02845764160156,9
tensor(171),The maid was lifted by the cushion.,-51.689186096191406,9
tensor(172),The servant wiped the sink.,-46.87537384033203,7
tensor(173),The sink wiped the servant.,-51.89613723754883,7
tensor(174),The sink was wiped by the servant.,-51.00766372680664,9
tensor(175),The servant was wiped by the sink.,-51.59415054321289,9
tensor(176),The domestic cleaned the wash basin.,-53.72462463378906,8
tensor(177),The wash basin cleaned the domestic.,-57.052001953125,8
tensor(178),The wash basin was cleaned by the domestic.,-55.659812927246094,10
tensor(179),The domestic was cleaned by the wash basin.,-56.89417266845703,10
tensor(180),The friend donned the pullover.,-48.376670837402344,9
tensor(181),The pullover donned the friend.,-52.06989288330078,9
tensor(182),The pullover was donned by the friend.,-52.258270263671875,11
tensor(183),The friend was donned by the pullover.,-57.21829605102539,11
tensor(184),The convalescent took the pill.,-46.83504104614258,9
tensor(185),The pill took the convalescent.,-54.360294342041016,9
tensor(186),The pill was taken by the convalescent.,-50.46216583251953,11
tensor(187),The convalescent was taken by the pill.,-56.331756591796875,11
tensor(188),The patient swallowed the medicine.,-37.93932342529297,7
tensor(189),The medicine swallowed the patient.,-48.70631790161133,7
tensor(190),The medicine was swallowed by the patient.,-42.08087158203125,9
tensor(191),The patient was swallowed by the medicine.,-44.5342903137207,9
tensor(192),The hoarder hid the stash.,-43.39539337158203,8
tensor(193),The stash hid the hoarder.,-47.33838653564453,8
tensor(194),The stash was hidden by the hoarder.,-46.59819412231445,10
tensor(195),The hoarder was hidden by the stash.,-50.49263381958008,10
tensor(196),The packrat concealed the stockpile.,-56.05157470703125,8
tensor(197),The stockpile concealed the packrat.,-62.18302917480469,8
tensor(198),The stockpile was concealed by the packrat.,-59.178035736083984,10
tensor(199),The packrat was concealed by the stockpile.,-59.655887603759766,10
tensor(200),The reporter abandoned the story.,-36.00397872924805,7
tensor(201),The story abandoned the reporter.,-45.896942138671875,7
tensor(202),The story was abandoned by the reporter.,-40.86978530883789,9
tensor(203),The reporter was abandoned by the story.,-44.114707946777344,9
tensor(204),The journalist ditched the article.,-40.910255432128906,8
tensor(205),The article ditched the journalist.,-43.353973388671875,8
tensor(206),The article was ditched by the journalist.,-46.5515251159668,10
tensor(207),The journalist was ditched by the article.,-46.26051330566406,10
tensor(208),The carnivore ate the steak.,-37.55906295776367,8
tensor(209),The steak ate the carnivore.,-43.652610778808594,8
tensor(210),The steak was eaten by the carnivore.,-42.752464294433594,10
tensor(211),The carnivore was eaten by the steak.,-46.55143737792969,10
tensor(212),The meat-eater devoured the filet.,-50.91032409667969,12
tensor(213),The filet devoured the meat-eater.,-55.793601989746094,12
tensor(214),The filet was devoured by the meat-eater.,-55.089481353759766,14
tensor(215),The meat-eater was devoured by the filet.,-58.88532257080078,14
tensor(216),The man drank the soda.,-35.213584899902344,7
tensor(217),The soda drank the man.,-42.47426223754883,7
tensor(218),The soda was drunk by the man.,-42.88631820678711,9
tensor(219),The man was drunk by the soda.,-49.02030563354492,9
tensor(220),The teacher bought the laptop.,-35.036067962646484,7
tensor(221),The laptop bought the teacher.,-44.41737365722656,7
tensor(222),The laptop was bought by the teacher.,-38.94343185424805,9
tensor(223),The teacher was bought by the laptop.,-48.200225830078125,9
tensor(224),The instructor purchased the computer.,-41.814754486083984,7
tensor(225),The computer purchased the instructor.,-45.70320129394531,7
tensor(226),The computer was purchased by the instructor.,-43.871002197265625,9
tensor(227),The instructor was purchased by the computer.,-48.71687316894531,9
tensor(228),The lady cooked the supper.,-41.24374008178711,7
tensor(229),The supper cooked the lady.,-51.10079574584961,7
tensor(230),The supper was cooked by the lady.,-47.360721588134766,9
tensor(231),The lady was cooked by the supper.,-51.74653625488281,9
tensor(232),The woman prepared the dinner.,-38.913734436035156,7
tensor(233),The dinner prepared the woman.,-44.61803436279297,7
tensor(234),The dinner was prepared by the woman.,-43.24529266357422,9
tensor(235),The woman was prepared by the dinner.,-49.34352111816406,9
tensor(236),The traveler lost the souvenir.,-43.422332763671875,8
tensor(237),The souvenir lost the traveler.,-49.866695404052734,8
tensor(238),The souvenir was lost by the traveler.,-47.37732696533203,10
tensor(239),The traveler was lost by the souvenir.,-54.033992767333984,10
tensor(240),The sightseer misplaced the memento.,-57.42475509643555,11
tensor(241),The memento misplaced the sightseer.,-62.79627990722656,11
tensor(242),The memento was misplaced by the sightseer.,-60.02424240112305,13
tensor(243),The sightseer was misplaced by the memento.,-63.312103271484375,13
tensor(244),The comedian confirmed the itinerary.,-46.02742385864258,8
tensor(245),The itinerary confirmed the comedian.,-49.60723876953125,8
tensor(246),The itinerary was confirmed by the comedian.,-48.002342224121094,10
tensor(247),The comedian was confirmed by the itinerary.,-54.135799407958984,10
tensor(248),The humorist verified the schedule.,-54.76063537597656,8
tensor(249),The schedule verified the humorist.,-58.630943298339844,8
tensor(250),The schedule was verified by the humorist.,-53.973899841308594,10
tensor(251),The humorist was verified by the schedule.,-57.37546920776367,10
tensor(252),The woodworker skimmed the brochure.,-54.13273620605469,10
tensor(253),The brochure skimmed the woodworker.,-56.93631362915039,10
tensor(254),The brochure was skimmed by the woodworker.,-55.094703674316406,12
tensor(255),The woodworker was skimmed by the brochure.,-60.94707489013672,12
tensor(256),The guide reached the target.,-43.341434478759766,7
tensor(257),The target reached the guide.,-46.934486389160156,7
tensor(258),The target was reached by the guide.,-47.49929428100586,9
tensor(259),The guide was reached by the target.,-50.91838836669922,9
tensor(260),The townsperson farmed the grain.,-55.51484680175781,10
tensor(261),The grain farmed the townsperson.,-62.34763717651367,10
tensor(262),The grain was farmed by the townsperson.,-61.20506286621094,12
tensor(263),The townsperson was farmed by the grain.,-64.92178344726562,12
tensor(264),The villager cultivated the crop.,-51.2867317199707,8
tensor(265),The crop cultivated the villager.,-53.12295150756836,8
tensor(266),The crop was cultivated by the villager.,-48.936370849609375,10
tensor(267),The villager was cultivated by the crop.,-52.229637145996094,10
tensor(268),The mentor revised the manuscript.,-46.92176055908203,7
tensor(269),The manuscript revised the mentor.,-54.96021270751953,7
tensor(270),The manuscript was revised by the mentor.,-49.812339782714844,9
tensor(271),The mentor was revised by the manuscript.,-54.411136627197266,9
tensor(272),The advisor edited the paper.,-40.48027038574219,7
tensor(273),The paper edited the advisor.,-48.664878845214844,7
tensor(274),The paper was edited by the advisor.,-43.70392608642578,9
tensor(275),The advisor was edited by the paper.,-50.401668548583984,9
tensor(276),The accountant made the chart.,-38.28780746459961,7
tensor(277),The chart made the accountant.,-50.21443557739258,7
tensor(278),The chart was made by the accountant.,-40.52683639526367,9
tensor(279),The accountant was made by the chart.,-49.29849624633789,9
tensor(280),The bookkeeper created the graph.,-46.01824188232422,8
tensor(281),The graph created the bookkeeper.,-52.44953918457031,8
tensor(282),The graph was created by the bookkeeper.,-45.83218002319336,10
tensor(283),The bookkeeper was created by the graph.,-51.80743408203125,10
tensor(284),The logger felled the pine tree.,-48.35959243774414,9
tensor(285),The pine tree felled the logger.,-52.02710723876953,9
tensor(286),The pine tree was felled by the logger.,-53.494789123535156,11
tensor(287),The logger was felled by the pine tree.,-52.168701171875,11
tensor(288),The tycoon ran the company.,-40.80685043334961,8
tensor(289),The company ran the tycoon.,-45.194793701171875,8
tensor(290),The company was run by the tycoon.,-41.48601531982422,10
tensor(291),The tycoon was run by the company.,-47.41960906982422,10
tensor(292),The mogul governed the corporation.,-47.74061584472656,7
tensor(293),The corporation governed the mogul.,-48.835227966308594,7
tensor(294),The corporation was governed by the mogul.,-49.56908416748047,9
tensor(295),The mogul was governed by the corporation.,-50.6346549987793,9
tensor(296),The campaigner biased the ballot.,-52.601593017578125,7
tensor(297),The ballot biased the campaigner.,-53.911415100097656,7
tensor(298),The ballot was biased by the campaigner.,-53.799888610839844,9
tensor(299),The campaigner was biased by the ballot.,-57.5452880859375,9
tensor(300),The activist prejudiced the vote.,-46.307315826416016,8
tensor(301),The vote prejudiced the activist.,-51.774845123291016,8
tensor(302),The vote was prejudiced by the activist.,-50.82892990112305,10
tensor(303),The activist was prejudiced by the vote.,-53.376766204833984,10
tensor(304),The stewardess pulled the suitcase.,-43.22256088256836,9
tensor(305),The suitcase pulled the stewardess.,-49.54548263549805,9
tensor(306),The suitcase was pulled by the stewardess.,-47.07176971435547,11
tensor(307),The stewardess was pulled by the suitcase.,-49.224918365478516,11
tensor(308),The flight-attendant dragged the luggage.,-56.145477294921875,10
tensor(309),The luggage dragged the flight-attendant.,-62.67261505126953,10
tensor(310),The luggage was dragged by the flight-attendant.,-61.43180847167969,12
tensor(311),The flight-attendant was dragged by the luggage.,-56.99223709106445,12
tensor(312),The congressman delivered the speech.,-39.48395538330078,7
tensor(313),The speech delivered the congressman.,-48.361385345458984,7
tensor(314),The speech was delivered by the congressman.,-40.95553207397461,9
tensor(315),The congressman was delivered by the speech.,-54.02671432495117,9
tensor(316),The representative gave the address.,-38.46839141845703,7
tensor(317),The address gave the representative.,-48.512237548828125,7
tensor(318),The address was given by the representative.,-41.75342559814453,9
tensor(319),The representative was given by the address.,-47.212310791015625,9
tensor(320),The sheriff inspected the estate.,-43.9100227355957,7
tensor(321),The estate inspected the sheriff.,-48.334136962890625,7
tensor(322),The estate was inspected by the sheriff.,-45.058536529541016,9
tensor(323),The sheriff was inspected by the estate.,-49.20126724243164,9
tensor(324),The constable examined the property.,-43.29429626464844,8
tensor(325),The property examined the constable.,-51.78689956665039,8
tensor(326),The property was examined by the constable.,-46.69367599487305,10
tensor(327),The constable was examined by the property.,-55.05742645263672,10
tensor(328),The celebrity signed the photograph.,-43.2628173828125,7
tensor(329),The photograph signed the celebrity.,-51.52839279174805,7
tensor(330),The photograph was signed by the celebrity.,-44.85129928588867,9
tensor(331),The celebrity was signed by the photograph.,-55.55724334716797,9
tensor(332),The star autographed the picture.,-41.26311111450195,8
tensor(333),The picture autographed the star.,-49.72453308105469,8
tensor(334),The picture was autographed by the star.,-44.009727478027344,10
tensor(335),The star was autographed by the picture.,-46.565311431884766,10
tensor(336),The nanny tutored the boy.,-44.444149017333984,9
tensor(337),The boy tutored the nanny.,-49.09595489501953,9
tensor(338),The boy was tutored by the nanny.,-46.612937927246094,11
tensor(339),The nanny was tutored by the boy.,-48.54474639892578,11
tensor(340),The governess instructed the lad.,-52.97981643676758,8
tensor(341),The lad instructed the governess.,-56.59233093261719,8
tensor(342),The lad was instructed by the governess.,-54.02264404296875,10
tensor(343),The governess was instructed by the lad.,-54.3309326171875,10
tensor(344),The blackmailer threatened the senator.,-47.8927116394043,8
tensor(345),The senator threatened the blackmailer.,-46.416873931884766,8
tensor(346),The senator was threatened by the blackmailer.,-47.785179138183594,10
tensor(347),The blackmailer was threatened by the senator.,-51.5457649230957,10
tensor(348),The extortionist menaced the legislator.,-58.82123565673828,9
tensor(349),The legislator menaced the extortionist.,-57.62265396118164,9
tensor(350),The legislator was menaced by the extortionist.,-58.90346908569336,11
tensor(351),The extortionist was menaced by the legislator.,-58.93876266479492,11
tensor(352),The artist portrayed the philosopher.,-44.90703582763672,7
tensor(353),The philosopher portrayed the artist.,-47.86664581298828,7
tensor(354),The philosopher was portrayed by the artist.,-46.96585464477539,9
tensor(355),The artist was portrayed by the philosopher.,-50.14604187011719,9
tensor(356),The painter depicted the thinker.,-50.769615173339844,7
tensor(357),The thinker depicted the painter.,-53.08324432373047,7
tensor(358),The thinker was depicted by the painter.,-51.45650100708008,9
tensor(359),The painter was depicted by the thinker.,-53.302364349365234,9
tensor(360),The mechanic berated the intern.,-49.401058197021484,8
tensor(361),The intern berated the mechanic.,-47.27049255371094,8
tensor(362),The intern was berated by the mechanic.,-50.5161018371582,10
tensor(363),The mechanic was berated by the intern.,-51.224273681640625,10
tensor(364),The technician rebuked the aide.,-49.48236083984375,8
tensor(365),The aide rebuked the technician.,-49.82084655761719,8
tensor(366),The aide was rebuked by the technician.,-53.22651290893555,10
tensor(367),The technician was rebuked by the aide.,-52.892356872558594,10
tensor(368),The fairy enchanted the troll.,-45.093955993652344,7
tensor(369),The troll enchanted the fairy.,-49.37602233886719,7
tensor(370),The troll was enchanted by the fairy.,-46.222042083740234,9
tensor(371),The fairy was enchanted by the troll.,-46.31224822998047,9
tensor(372),The pixie mesmerized the ogre.,-53.277687072753906,9
tensor(373),The ogre mesmerized the pixie.,-56.27532196044922,9
tensor(374),The ogre was mesmerized by the pixie.,-52.46392822265625,11
tensor(375),The pixie was mesmerized by the ogre.,-54.92824172973633,11
tensor(376),The orderly assisted the dentist.,-53.694679260253906,7
tensor(377),The dentist assisted the orderly.,-48.50560760498047,7
tensor(378),The dentist was assisted by the orderly.,-50.146156311035156,9
tensor(379),The orderly was assisted by the dentist.,-52.82567596435547,9
tensor(380),The nurse helped the orthodontist.,-44.34027862548828,10
tensor(381),The orthodontist helped the nurse.,-45.17839050292969,10
tensor(382),The orthodontist was helped by the nurse.,-46.47480010986328,12
tensor(383),The nurse was helped by the orthodontist.,-47.228981018066406,12
tensor(384),The owner evicted the tenant.,-36.67055892944336,8
tensor(385),The tenant evicted the owner.,-42.401432037353516,8
tensor(386),The tenant was evicted by the owner.,-40.928382873535156,10
tensor(387),The owner was evicted by the tenant.,-37.99576187133789,10
tensor(388),The critic attacked the conservative.,-45.050113677978516,7
tensor(389),The conservative attacked the critic.,-45.622276306152344,7
tensor(390),The conservative was attacked by the critic.,-48.16172409057617,9
tensor(391),The critic was attacked by the conservative.,-47.0604133605957,9
tensor(392),The reviewer criticized the right-winger.,-50.642051696777344,10
tensor(393),The right-winger criticized the reviewer.,-52.430213928222656,10
tensor(394),The right-winger was criticized by the reviewer.,-55.48858642578125,12
tensor(395),The reviewer was criticized by the right-winger.,-54.66375732421875,12
tensor(396),The admirer badgered the director.,-56.35609436035156,9
tensor(397),The director badgered the admirer.,-56.037452697753906,9
tensor(398),The director was badgered by the admirer.,-58.32352066040039,11
tensor(399),The admirer was badgered by the director.,-56.50490188598633,11
tensor(400),The fan pestered the filmmaker.,-51.433570861816406,8
tensor(401),The filmmaker pestered the fan.,-51.92434310913086,8
tensor(402),The filmmaker was pestered by the fan.,-53.61407470703125,10
tensor(403),The fan was pestered by the filmmaker.,-53.066226959228516,10
tensor(404),The paramedic revived the youth.,-44.27756118774414,8
tensor(405),The youth revived the paramedic.,-51.24882507324219,8
tensor(406),The youth was revived by the paramedic.,-51.63185119628906,10
tensor(407),The paramedic was revived by the youth.,-49.02684020996094,10
tensor(408),The EMT resuscitated the youngster.,-50.28372573852539,9
tensor(409),The youngster resuscitated the EMT.,-54.09209442138672,9
tensor(410),The youngster was resuscitated by the EMT.,-51.54549789428711,11
tensor(411),The EMT was resuscitated by the youngster.,-56.083587646484375,11
tensor(412),The prankster duped the marketer.,-49.874942779541016,10
tensor(413),The marketer duped the prankster.,-50.92529296875,10
tensor(414),The marketer was duped by the prankster.,-50.2591667175293,12
tensor(415),The prankster was duped by the marketer.,-51.59392166137695,12
tensor(416),The joker tricked the distributor.,-48.61921310424805,8
tensor(417),The distributor tricked the joker.,-48.15556716918945,8
tensor(418),The distributor was tricked by the joker.,-48.633270263671875,10
tensor(419),The joker was tricked by the distributor.,-51.05887985229492,10
tensor(420),The playboy courted the damsel.,-52.452152252197266,10
tensor(421),The damsel courted the playboy.,-51.87759017944336,10
tensor(422),The damsel was courted by the playboy.,-55.14170455932617,12
tensor(423),The playboy was courted by the damsel.,-60.08477020263672,12
tensor(424),The womanizer wooed the maiden.,-58.275970458984375,9
tensor(425),The maiden wooed the womanizer.,-57.7266845703125,9
tensor(426),The maiden was wooed by the womanizer.,-55.6310920715332,11
tensor(427),The womanizer was wooed by the maiden.,-60.72056579589844,11
tensor(428),The nomad cherished the clergyman.,-58.952178955078125,9
tensor(429),The clergyman cherished the nomad.,-57.23122024536133,9
tensor(430),The clergyman was cherished by the nomad.,-59.72621154785156,11
tensor(431),The nomad was cherished by the clergyman.,-58.93803405761719,11
tensor(432),The vagabond revered the priest.,-49.131248474121094,9
tensor(433),The priest revered the vagabond.,-47.608890533447266,9
tensor(434),The priest was revered by the vagabond.,-49.4891357421875,11
tensor(435),The vagabond was revered by the priest.,-51.65093994140625,11
tensor(436),The assassin shot the statesman.,-46.53077697753906,8
tensor(437),The statesman shot the assassin.,-45.42280960083008,8
tensor(438),The statesman was shot by the assassin.,-45.814109802246094,10
tensor(439),The assassin was shot by the statesman.,-49.81598663330078,10
tensor(440),The hit man killed the politician.,-44.88054275512695,8
tensor(441),The politician killed the hit man.,-43.718658447265625,8
tensor(442),The politician was killed by the hit man.,-44.67646026611328,10
tensor(443),The hit man was killed by the politician.,-44.86257553100586,10
tensor(444),The clerk charged the elderly person.,-48.60879898071289,8
tensor(445),The elderly person charged the clerk.,-53.167903900146484,8
tensor(446),The elderly person was charged by the clerk.,-49.0544548034668,10
tensor(447),The clerk was charged by the elderly person.,-52.5103645324707,10
tensor(448),The cashier billed the senior citizen.,-50.80323791503906,9
tensor(449),The senior citizen billed the cashier.,-52.04865646362305,9
tensor(450),The senior citizen was billed by the cashier.,-51.973838806152344,11
tensor(451),The cashier was billed by the senior citizen.,-53.587154388427734,11
tensor(452),The mediator rescued the hostage.,-43.80855941772461,8
tensor(453),The hostage rescued the mediator.,-50.319419860839844,8
tensor(454),The hostage was rescued by the mediator.,-47.172996520996094,10
tensor(455),The mediator was rescued by the hostage.,-46.907283782958984,10
tensor(456),The negotiator saved the captive.,-46.582454681396484,7
tensor(457),The captive saved the negotiator.,-50.24128723144531,7
tensor(458),The captive was saved by the negotiator.,-49.800758361816406,9
